1;Liniers;;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo;-58.526112518066256;-34.638266694164287
2;Velez Sarsfield;;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.520143194533759;-34.633496924422751
3;Polideportivo Velez Sarsfield;JUSTO JUAN B. & GARCIA JUAN AGUSTIN;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.513913101165812;-34.633457821061292
4;Cortina;JUSTO JUAN B. & CORTINA;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.506729637790961;-34.634341077095115
5;Av. Lope de Vega;JUSTO JUAN B. & LOPE DE VEGA;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.501042098776409;-34.632207786775169
6;Carrasco;JUSTO JUAN B. & CARRASCO;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.49485369658003;-34.629537275777722
7;Av. Segurola;JUSTO JUAN B. & SEGUROLA;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.49109564625963;-34.627011038280713
8;Chivilcoy;JUSTO JUAN B. & CHIVILCOY;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.485924077445176;-34.625143829520979
9;Concordia;JUSTO JUAN B. & CONCORDIA;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.480817643768582;-34.62204155975661
10;Av. Nazca;JUSTO JUAN B. & NAZCA;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.476096333381605;-34.618102594928033
11;Artigas;JUSTO JUAN B. & ARTIGAS JOSE GERVASIO GRAL;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.472255494384328;-34.613823969987052
12;Boyaca;JUSTO JUAN B. & BOYACA;34 - 110 - 166;34 - 110 - 166;Metrobus Juan B. Justo;-58.46784821579157;-34.611303822593023
13;Av. Donato Alvarez;JUSTO JUAN B. & ALVAREZ DONATO Tte. Gral.;34 - 110 - 166;34 - 110 - 166;Metrobus Juan B. Justo;-58.462704631866444;-34.607373011852246
14;Av. San Martín;JUSTO JUAN B. & SAN MARTIN AV.;34 - 109 - 110 - 166;34 - 109 - 110 - 166;Metrobus Juan B. Justo;-58.458473924997968;-34.604491845072424
15;Av. Honorio Pueyrredón;JUSTO JUAN B. & PUEYRREDON HONORIO DR.;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo;-58.452052278349043;-34.600120442667283
16;Murillo;JUSTO JUAN B. & MURILLO;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo;-58.447690103827632;-34.597091409563888
17;Av. Corrientes;JUSTO JUAN B. & CORRIENTES;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.44430015384696;-34.594764030761432
18;Aguirre;JUSTO JUAN B. & AGUIRRE;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.440703018640058;-34.592266928589886
20;Honduras;JUSTO JUAN B. & HONDURAS;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.434753212275034;-34.585372194959099
21;Guatemala;JUSTO JUAN B. & GUATEMALA;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.430041255397477;-34.581879684783154
23;Pacífico;BULLRICH INT AV & SANTA FE;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.426515354062616;-34.577583241440635
27;Estados Unidos;Entre Carlos Calvo y Estados Unidos;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio;-58.380854057239539;-34.618876714053805
28;Independencia;Entre Estados Unidos e Independencia;45 -- 70;45 -- 70;Metrobus 9 de Julio;-58.380882769127837;-34.617890477370551
29;Chile;Entre Independencia y Chile;9 -- 91 -- 100;100 -- 9 -- 91;Metrobus 9 de Julio;-58.380944992793843;-34.616679488313913
30;México;Entre Chile y México;67 -- 98 -- 129;67 -- 129;Metrobus 9 de Julio;-58.380990528402691;-34.615509772959797
31;Venezuela;Entre México y Venezuela;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio;-58.381030356944962;-34.614500606940602
32;Belgrano;Entre Venezuela y Belgrano;45 -- 70 -- 100;100 -- 45 -- 70;Metrobus 9 de Julio;-58.381042460193484;-34.613473073224057
33;Alsina;Entre Moreno y Alsina;129;129;Metrobus 9 de Julio;-58.381171727514044;-34.611070891371021
34;Yrigoyen;Entre Alsina e Hipólito Yrigoyen;9 -- 91 -- 67;67 -- 9 -- 91;Metrobus 9 de Julio;-58.381255566548958;-34.609944087864065
35;Mitre;Entre Rivadavia y Bartolomé Mitro;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio;-58.38139186616656;-34.607584608984197
