Yapeyú 132;Inst. María Auxiliadora;I María Auxiliadora;4981-7081/5242;5;ALMAGRO;-58.4217;-34.6138
La Rioja 660;Inst. Hogar de Niños Ramón L. Falcon;I Hogar de Niños R L Falcón;4931-3159;3;BALVANERA;-58.408;-34.6176
Avda. Jujuy 2179;Inst. Ntra. Sra. de Luján;I Ntra Sra de Luján;4308-3434 4941-4666;4;PARQUE PATRICIOS;-58.3992;-34.6356
Juncal 2623;Inst. San Tarsicio;I San Tarsicio;4805-9889;2;RECOLETA;-58.4034;-34.5901
Humahuaca 3944;Escuela Infantil Tiempo de Juego;EI Tiempo de Juego;4862-2249;5;ALMAGRO;-58.42;-34.6022
24 de Noviembre 1665;Inst. San Vicente de Paul;I San Vicente de Paul;4911-0286;4;PARQUE PATRICIOS;-58.4099;-34.6307
Avda. Jujuy 1241;Inst. San Cristobal;I San Cristóbal;4941-2760 4943-4408;3;SAN CRISTOBAL;-58.4022;-34.6244
Avda. Chiclana 3659;Inst. San Bartolomé;I San Bartolomé;4921-4440;5;BOEDO;-58.4154;-34.6368
24 de Noviembre 900;Inst. Sta. Cruz;I Sta Cruz;4957-3306 4931-8908;3;SAN CRISTOBAL;-58.4106;-34.6218
Gral. Urquiza 167;Inst. Superior de Electrónica Gral. Savio;I Sup de Electrónica Gral Savio;4931-7164;3;BALVANERA;-58.4103;-34.6123
Moreno 3363;Esc. Central de Especialidades Paramédicas de la Cruz Roja Argentina;EC Espec Paramédicas Cruz Roja;4863-7227/7739;5;ALMAGRO;-58.4139;-34.6141
Alberti 191;Inst. Amado Olmos Atsa;I Amado Olmos Atsa;4952-0660/0592;3;BALVANERA;-58.4017;-34.612
Carbajal 3250;Inst. Sta. Catalina de Belgrano;I Sta Catalina de Belgrano;4552-4353/8572;13;BELGRANO;-58.4606;-34.5717
Virrey del Pino 3511;Inst. Mekhitarista;I Mekhitarista;4552-3690;13;BELGRANO;-58.465;-34.5726
Cuba 3302;Inst. de Enseñanza Primaria Gral. San Martin;I E Prim Gral San Martín;4701-0864;13;NUÑEZ;-58.4646;-34.5502
Manuela Pedraza 3950;Inst. Sta. María de los Angeles;I Sta María de los Angeles;4542-2089 4543-3142;12;COGHLAN;-58.4802;-34.5593
Otamendi 28;Inst. Privado Unión Docentes Argentinos;I Priv UDA;4902-1506/07/08 4904-234;6;CABALLITO;-58.4319;-34.6158
Yatay 129;Inst. de Formación Profesional Superior;I Formación Profesional Superior;4981-8207/6050;5;ALMAGRO;-58.4285;-34.6123
Acevedo 262;Escuela Terciaria de Estudios Radiofonicos;E Terc de Estudios Radiofónicos;4857-5701/02;15;VILLA CRESPO;-58.4423;-34.5992
Avda. Gaona 2197;Escuela del Policlinico Bancario 9 de julio;Esc del Policlinico Bancario;4586-8888/13;6;CABALLITO;-58.4575;-34.6129
Yerbal 1755;Inst. Superior de Psicologia Social;I Sup de Psicología Social;4631-3582/9424;7;FLORES;-58.4555;-34.6247
Jorge Luis Borges 1791;Inst. Jardín Amapola;I Jardin Amapola;4831-3914;14;PALERMO;-58.4283;-34.5876
Paraguay 5115;Inst. Modelo de Educación Preescolar;I Modelo Educ Preescolar;4772-1218;14;PALERMO;-58.4302;-34.5799
Gurruchaga 568;Inst. Villa Soles;I Villa Soles;4854-6364;15;VILLA CRESPO;-58.4408;-34.5966
Ciudad de la Paz 394;Formación de Ciencias Empresariales;F de Ciencias Empresariales;4553-6351 4701-7898;14;PALERMO;-58.4423;-34.574
Avda. Cabildo 1478;Inst. Superior Letras Eduardo Mallea;I Sup Letras Eduardo Mallea;4782-2701;13;COLEGIALES;-58.4506;-34.5673
Moldes 1825;Colegio de la Ciudad;Col de la Ciudad;5786-5786;13;BELGRANO;-58.4572;-34.5662
Cuba 1754;Inst. Manuel Belgrano;I Manuel Belgrano;4784-0654;13;BELGRANO;-58.452;-34.5643
Crámer 2370;Inst. Ntra. Sra. del Sagrado Corazón;I Ntra Sra del Sagrado Corazón;4781-1277;13;BELGRANO;-58.4637;-34.5624
Juramento 3035;Belgrano Day School;Belgrano Day School;4781-6011;13;BELGRANO;-58.4628;-34.5655
Avda. Melián 1880;Buenos Aires English High School;BA English High School;4552-1533/6778;13;BELGRANO;-58.4658;-34.5706
Ciudad de la Paz 1839;Inst. Ntra. Sra. del Rosario;I Ntra Sra del Rosario;4784-6788;13;BELGRANO;-58.4555;-34.565
Avda. Crisólogo Larralde 2551;Inst. San Francisco de Asís;I San Francisco de Asís;4702-8960;12;SAAVEDRA;-58.4698;-34.5497
Mcal. Antonio José de Sucre 3668;Inst. Sta. Margarita;I Sta Margarita;4551-2942;13;BELGRANO;-58.4674;-34.5713
Conesa 1846;Inst. Incorporado Patrocinio de San José;Patrocinio de San José;4784-4500;13;BELGRANO;-58.4604;-34.5678
Avda. Olazábal 1440;Inst. Sta. Ana y San Joaquín;I Sta Ana y San Joaquín;4783-9007;13;BELGRANO;-58.4486;-34.5545
Roque Pérez 4334;Inst. La Salette;I La Salette;4542-2389/2215;12;SAAVEDRA;-58.4834;-34.5489
Paso 51;Inst. Argentino Gallego;I Arg Gallego;4954-6637;3;BALVANERA;-58.4032;-34.6093
Dr. Tomás Manuel de Anchorena 719;Inst. de Educación Superior Toratenu;I Educ Superior Toratenu;4961-5255/4656 int. 140;3;BALVANERA;-58.4089;-34.6005
Guardia Vieja 3983;Jardín Retoño;J Retoño;4864-8853 4866-4615;5;ALMAGRO;-58.4202;-34.6006
Avda. Dorrego 1898;Inst. Buenos Aires de Comunicación;I BA de Comunicación;3708-0960;13;COLEGIALES;-58.4419;-34.58
Ayacucho 243;Inst. San Luis Gonzaga;I San Luis Gonzaga;4953-8430;3;BALVANERA;-58.3949;-34.6066
Perú 759;Inst. Industrial Luis A. Huergo;I Industrial Luis A Huergo;4362-9428/9964;1;SAN TELMO;-58.3746;-34.6167
Padre Canavery 1331;Inst. Colina de Roble;I Colina de Roble;4703-4304;13;NUÑEZ;-58.4559;-34.541
Montevideo 1050;Inst. Champagnat;I Champagnat;4811-0814;2;RECOLETA;-58.3901;-34.5968
Paraguay 1766;Inst. del Carmen;I del Carmen;4812-0739;2;RECOLETA;-58.3925;-34.5988
Riobamba 650;Inst. de La Salle;I de La Salle;4374-6449 4373-2760;3;BALVANERA;-58.3943;-34.6015
Azcuénaga 158;Inst. San José;I San José;4951-4303;3;BALVANERA;-58.4007;-34.6079
Paraguay 834;Inst. San Maron;I San Marón;4311-7299 4312-8348 Fax;1;RETIRO;-58.3788;-34.5978
Yatay 261;Inst. Privado Argentino Japones en Buenos Aires;I Priv Argentino Japones en BA;4983-3310;5;ALMAGRO;-58.429;-34.6096
Yerbal 351;Inst. Tobar Garcia;I Tobar Garcia;4901-5081 4903-3639;6;CABALLITO;-58.4353;-34.6162
Juan Ramírez de Velazco 748;Colegio Paideia;Col Paideia;4855-3136/4676;15;VILLA CRESPO;-58.4388;-34.5968
Juncal 1264;Jardín de Infantes El Centavo;JI El Centavo;4812-1178;1;RETIRO;-58.3855;-34.5929
Pte. José Evaristo Uriburu 1269;Jardín de Infantes Cinderella;JI Cinderella;4821-6121;2;RECOLETA;-58.3975;-34.5934
Laprida 1871;Escuela Primaria Septiembre;Esc Prim Septiembre;4805-7460;2;RECOLETA;-58.4011;-34.5889
Lavalle 2083;Inst. Tea y Deportea;I Tea y Deportea;4374-6751;3;BALVANERA;-58.3967;-34.6032
Ayacucho 760;La Gotita de Agua;La Gotita de Agua;4371-0016 4374-2941;3;BALVANERA;-58.3959;-34.6002
Suipacha 7;Escuela Superior de Ciencias Deportivas;E Sup de Ciencias Deportivas;4345-4905/4895/0247;1;SAN NICOLAS;-58.3791;-34.6082
Paraguay 723;Catalinas;Catalinas;4312-4685;1;RETIRO;-58.3772;-34.5975
Rodríguez Peña 575;Superior Dante Alighieri;Superior Dante Alighieri;4371-2480/9692;1;SAN NICOLAS;-58.3911;-34.6023
Riobamba 1059;Centro Argentino de Educación Permanente CAEP;CAEP;4372-7422;2;RECOLETA;-58.3946;-34.5965
Bartolomé Mitre 739;Inst. Superior Educativo de la Camara de Com.; Indus. y Prod. R.A.;I Sup Educ Cámara de Comercio;1;1;-58.377;-34.6069
Viamonte 1475;Cultural Inglesa de Buenos Aires;Cultural Inglesa de Bs As;4374-4643 4371-7448;1;SAN NICOLAS;-58.3877;-34.6005
Paraná 660 / 662;Colegio Superior de Arte del Teatro y la Comunicación;Col Sup Arte del Teatro y la Comunicación;4372-8386;1;SAN NICOLAS;-58.3882;-34.601
Sarmiento 2210;Escuela Taller Imagen y Sonido;Esc Taller Imagen y Sonido;4954-4300;3;BALVANERA;-58.3981;-34.6061
Avda. Corrientes 2037;Inst. Leonardo Da Vinci;I Leonardo Da Vinci;5032-0055;3;BALVANERA;-58.3959;-34.6044
Pichincha 467;Inst. Terciario de Capacitación; Actualización y Perfeccionamiento Docente;I Terc de C A y P Docente;3;3;-58.3994;-34.6148
Bartolomé Mitre 1970;Centro de Estudios Organizacionales;C E Organizacionales;4951-7030/7680;3;BALVANERA;-58.3945;-34.6083
Pte. José Evaristo Uriburu 353;Inst. Escuela Tea Imagen;I Esc Tea Imagen;4952-6828 4954-0557;3;BALVANERA;-58.398;-34.6053
México 1660;Inst. Terciario Privado De la Rivera;I Terc Priv De la Rivera;4362-4352;1;MONTSERRAT;-58.3898;-34.6157
Avda. Callao 542;Colegio del Salvador;Col del Salvador;4374-5653/7 4371-7997;3;BALVANERA;-58.3927;-34.6026
Esmeralda 759;CONSUDEC;CONSUDEC;4326-3834/36/38;1;SAN NICOLAS;-58.3781;-34.5996
Tte. Gral. Juan Domingo Perón 1862;Colegio Secundario Santo Tomás de Aquino;Sto Tomás de Aquino;4371-2238/2093;3;BALVANERA;-58.393;-34.607
Juncal 2131;Inst. Padre Luis M. Etcheverry Boneo;I Padre L M Etcheverry Boneo;4822-3687;2;RECOLETA;-58.3978;-34.5927
Avda. Cnel. Díaz 1894;Ser Feliz;Ser Feliz;4821-4699;14;PALERMO;-58.4104;-34.5891
Bulnes 1131;Inst. Secundario para Adultos UPSRA;I Sec p/Adultos UPSRA;4865-7097;5;ALMAGRO;-58.4173;-34.5985
Paraguay 3925;Colegio Guadalupe;Col Guadalupe;4824-5641/6093;14;PALERMO;-58.4182;-34.5892
Billinghurst 1355;Colegio Nuevo Guido Spano;Nvo Guido Spano;;2;RECOLETA;-58.4131;-34.5944
Constitución 3156;Inst. 9 de Julio;I 9 de Julio;4963-2619 4961-8233;3;SAN CRISTOBAL;-58.4096;-34.6275
Lavalle 3761;Inst. William C. Morris;I William C Morris;4862-1419;5;ALMAGRO;-58.4185;-34.5996
Charcas 3034;Inst. Vocacional Argentino;I Vocacional Argentino;4821-5268/2412;2;RECOLETA;-58.4088;-34.5931
Mario Bravo 563;Inst. Inmaculada Concepción;I Inmaculada Concepción;4862-1635;5;ALMAGRO;-58.4165;-34.6028
República Dominicana 3586;Inst. Divino Corazón;I Divino Corazón;4823-8452;14;PALERMO;-58.4155;-34.5897
Avda. Corrientes 4471;Inst. Casa de Jesus;I Casa de Jesús;4862-5254;5;ALMAGRO;-58.428;-34.6023
Gral. Lucio Norberto Mansilla 2588;Inst. de los Angeles Custodios;I de los Angeles Custodios;4961-8992/4872;2;RECOLETA;-58.4043;-34.5963
Francisco Acuña de Figueroa 855;Inst. Betania;I Betania;4863-0705;5;ALMAGRO;-58.4221;-34.601
San Luis 3358;Inst. Ntra. Sra. del Valle;I Ntra Sra del Valle;4862-2515;5;ALMAGRO;-58.413;-34.5994
Francisco Acuña de Figueroa 1742;Centro Educativo Arquidiocesano Espíiritu Santo;CE A Espíritu Santo;4863-6362;14;PALERMO;-58.4206;-34.591
Guise 1979;Inst. Corazón de María;I Corazón de María;4822-0863;14;PALERMO;-58.4122;-34.5901
Avda. Estado de Israel 4230;Inst. Benito Nazar;I Benito Nazar;4862-4993;5;ALMAGRO;-58.4254;-34.598
Ecuador 928;Escuela Religiosa Israelita Argentina;Esc Religiosa Israelita Argentina;4962-6423/2301;3;BALVANERA;-58.4062;-34.5992
Bartolomé Mitre 3443;Inst. Tierra Santa;I Tierra Santa;4861-2067 4865-5845;5;ALMAGRO;-58.4152;-34.6093
San Luis 3341;Inst. María Inmaculada;I María Inmaculada;4862-0372 4865-8706;5;ALMAGRO;-58.4127;-34.5991
Dr. Tomás Manuel de Anchorena 1553;Inst. Mercedes Pacheco;I Mercedes Pacheco;4822-0508 4821-6032;2;RECOLETA;-58.4036;-34.5922
Laprida 1659;Inst. Río de la Plata;I Río de la Plata;4822-9496/2032;2;RECOLETA;-58.4036;-34.5908
Dr. Norberto Quirno Costa 1260;Inst. Edmundo de Amicis;I Edmundo de Amicis;4964-0513 4963-9467;2;RECOLETA;-58.4055;-34.5952
Tte. Gral. Juan Domingo Perón 2461;Inst. Natan Gesang;I Natan Gesang;4963-8555/6 4951-3275;3;BALVANERA;-58.4014;-34.6073
Vidt 1631;Inst. Gonzalez Pecotche;I Gonzalez Pecotche;4825-6927 4824-2389;14;PALERMO;-58.4164;-34.5918
Potosí 4032;Escuela de Enfermeria del Htal. Italiano;E de Enfermería del Htal Italiano;4959-0200 int. 8443;5;ALMAGRO;-58.4234;-34.6074
Francisco Acuña de Figueroa 1742;Inst. Superior del Prof. San Agustín;I Sup del Prof San Agustín;4867-4845 4865-0195;14;PALERMO;-58.4206;-34.591
Agüero 1916;Inst. Daguerre;I Daguerre;4824-4747/5006;2;RECOLETA;-58.4042;-34.5893
Julián Alvarez 1030;Inst. Incorporado Colectividad Helénica;I Incorp. Colectividad Helénica;4777-6222;15;VILLA CRESPO;-58.4293;-34.5962
Gallo 1341;Inst. de la Niñez;I de la Niñez;4961-0814;2;RECOLETA;-58.4106;-34.5947
Guardia Vieja 4541;Inst. Infancias;I Infancias;4862-2513;5;ALMAGRO;-58.4288;-34.5998
Ecuador 530;Inst. Beth Rajel;I Beth Rajel;4862-2701;3;BALVANERA;-58.4078;-34.6038
El Salvador 3952;Nueva Escuela Modelo Internacional;Nva Esc Modelo Internacional;4825-2900;14;PALERMO;-58.4186;-34.5929
Soler 3985;Escuela Metropolitana de Altos Estudios;Esc Metropol de Altos Estudios;4822-3409;14;PALERMO;-58.4174;-34.5917
Palestina 748;Colegio Galileo Galilei;Col Galileo Galilei;4862-9179;5;ALMAGRO;-58.4257;-34.6021
Lerma 242;Inst. Griego Atenagoras;I Griego Atenagoras;4777-2124;15;VILLA CRESPO;-58.4303;-34.5962
José Antonio Cabrera 3138;Nuevos Rumbos;Nuevos Rumbos;4826-2600/3060;2;RECOLETA;-58.411;-34.597
Aráoz 2193;Integral - Taller de Arquitectura;Integral - Taller de Arquitectura;4824-5656;14;PALERMO;-58.4188;-34.5882
Dr. Tomás Manuel de Anchorena 41;Inst. Privado Arcángel San Miguel;I Priv Arcangel San Miguel;4865-0878/0945;3;BALVANERA;-58.4116;-34.6099
Jerónimo Salguero 94;Inst. Superior Mitre;I Sup Mitre;4982-1177;5;ALMAGRO;-58.42;-34.6099
Avda. Córdoba 4448;Inst. Holos;I Holos;4775-3622/3638;15;VILLA CRESPO;-58.4287;-34.5953
Laprida 1138;Zoe Un Lugar Para Ser;Zoe Un Lugar Para Ser;4963-4744;2;RECOLETA;-58.4083;-34.5956
Pringles 738;Inst. Centro Psicopedagógico de Educación Especial Acuarela;I C P E Acuarela;4862-5307;5;ALMAGRO;-58.4274;-34.6036
Humahuaca 4248;Escuela de la Nueva Expresión;Esc Nueva Expresión;4866-0566 4867-4136;5;ALMAGRO;-58.4247;-34.6016
Larrea 1254;Inst. Privado Inc. Kline Centro de Enseñanza e Investigación;I Priv Inc. Kline;4821-0168;2;RECOLETA;-58.4004;-34.5928
Carlos Calvo 3893;Inst. de Educación Especial y Formacion Laboral Ntra. Sra. de Lujan;IEEyFL Ntra Sra de Luján;4931-3665 4932-1797;2;RECOLETA;-58.4202;-34.6246
Soler 3687;Inst. de Recreación Infantil Mi Casita;I de Recreación Infantil Mi Casita;4824-1937;14;PALERMO;-58.415;-34.5935
Gascón 1269;Grupo Caminantes;Grupo Caminantes;4862-9541;14;PALERMO;-58.4229;-34.5957
Avda. Corrientes 2925;Inst. Superior Bermejo;I Sup Bermejo;4860-3213;3;BALVANERA;-58.4068;-34.6042
Avda. Juan B. Justo 1423;Inst. de Natación y Deportes;I de Natación y Deportes;4771-7873 4777-1472;14;PALERMO;-58.4343;-34.5848
Cochabamba 1414;Inst. La Providencia;I La Providencia;4305-8077;1;CONSTITUCION;-58.386;-34.6241
Avda. San Juan 1774;Inst. Rosa Anchorena de Ibañez;I Rosa Anchorena de Ibañez;4304-7924/8221;1;CONSTITUCION;-58.391;-34.6229
Psje. 5 de Julio 489;Inst. Beato Angélico;I Beato Angélico;4342-1525;1;MONTSERRAT;-58.3712;-34.6135
Avda. Belgrano 1344;Inst. Ntra. Sra. de Monserrat;I Ntra Sra de Monserrat;4383-7817;1;MONTSERRAT;-58.3853;-34.6135
Moreno 1859;Hogar Maternal 03 I. C. de Hernandez;Hogar Maternal 3  I C de Hernandez;4372-4117;3;BALVANERA;-58.3927;-34.6126
Constitución 1650;Hogar del Pino;Hogar del Pino;4305-0162;1;CONSTITUCION;-58.389;-34.6252
Carlos Calvo 1186;Inst. Inmaculada Concepción;I Inmaculada Concepción;4305-4189 4306-0000;1;CONSTITUCION;-58.3827;-34.6199
Hipólito Yrigoyen 2084;Inst. Don Orione;I Don Orione;4952-1641;3;BALVANERA;-58.3959;-34.6107
Paraná 140;Inst. Superior de Turismo Perito Moreno;I Sup Perito Moreno;4371-2880/2715;1;SAN NICOLAS;-58.3879;-34.6073
Avda. San Juan 983;Inst. Superior Prof. J. B. Alberdi;I Sup Prof JB Alberdi;4300-2147/5032;1;CONSTITUCION;-58.3794;-34.622
Avda. Entre Ríos 1651;Inst. de Enseñanza Federico G. Froebel;I de Enseñanza Federico G Froebel;4304-1817/8028;4;PARQUE PATRICIOS;-58.3913;-34.6279
Avda. Belgrano 1548;Colegio Los Robles;Col Los Robles;4383-5746/5720;1;MONTSERRAT;-58.3881;-34.6137
Matheu 1472;Inst. Nuevo Horizonte;I Nuevo Horizonte;4941-1724;3;SAN CRISTOBAL;-58.3987;-34.6268
Bartolomé Mitre 784;Inst. de Capacitación Inmobiliaria;I de Capacitación Inmobiliaria;5031-3333;1;SAN NICOLAS;-58.3776;-34.6071
Carlos Calvo 2217;Trampolín;Trampolín;4941-6090;3;SAN CRISTOBAL;-58.3975;-34.6206
Combate de los Pozos 146;Inst. Superior de Viajantes I.E.S.E.V.E.;I Sup de Viajantes IESEVE;4382-7179/7428/7455;3;BALVANERA;-58.3932;-34.6109
Paraná 140;Fundación Perito Moreno;Fund Perito Moreno;4371-2880/2779;1;SAN NICOLAS;-58.3879;-34.6073
Virrey Cevallos 771;Jardín de Infantes Cevallitos;JI Cevallitos;4381-8439;1;MONTSERRAT;-58.3891;-34.6176
Venezuela 1262;Fundación Docencia e Investigacion para la Salud;Fund Doc Invest para la Salud;4383-8789 4381-6923;1;MONTSERRAT;-58.384;-34.6145
Cochabamba 868;Centro de Investigación y Experimentación en Video Y Cine;C I y E Video y Cine;4307-6170/7297;1;CONSTITUCION;-58.3781;-34.6237
Humberto I° 1275/81;Inst. San Columba;I San Columba;4306-7038 4304-9904;1;CONSTITUCION;-58.384;-34.6209
Talcahuano 78;Centro de Estudio Superior;C de Estudio Superior;5353-3007;1;SAN NICOLAS;-58.385;-34.6079
Avda. de Mayo 1460;Inst. Prof. de Enseñanza Superior IPES;IPES;4384-9111;1;MONTSERRAT;-58.3869;-34.6096
Adolfo Alsina 2185;Proyecto Sur;Proyecto Sur;4952-2547;3;BALVANERA;-58.3971;-34.6118
Avda. Juan de Garay 556;Inst. María Auxiliadora;I María Auxiliadora;4361-5701 4300-8667;1;SAN TELMO;-58.3734;-34.6246
Pinzón 1480;Inst. Sta. Felicitas;I Sta Felicitas;4302-8052 4650-7940;4;BARRACAS;-58.3725;-34.637
Avda. Paseo Colón 465;Hogar Maternal 04 C. M. de Varela;Hogar Maternal 4 C M de Varela;4331-1300;1;MONTSERRAT;-58.3697;-34.6131
Moreno 343;Inst. San Francisco;I San Francisco;4343-1933;1;MONTSERRAT;-58.3712;-34.6112
Olavarría 486;Colegio San Juan Evangelista;Col San Juan Evangelista;4301-1155 4302-2194;4;BOCA;-58.3596;-34.6367
Palos 560;Inst. María Auxiliadora;I María Auxiliadora;4301-1178;4;BOCA;-58.362;-34.636
Avda. Manuel Montes de Oca 1844;Inst. Zaccaria;I Zaccaria;4301-9016 4302-2895;4;BARRACAS;-58.3725;-34.6487
Martín Rodríguez 864;Inst. Privado Hogar Infancia de la Boca;I Priv Hogar Infancia de la Boca;4301-4494;4;BOCA;-58.3605;-34.6356
Benito Quinquela Martín 1151;Inst. San Pedro;I San Pedro;4301-3261;4;BOCA;-58.3665;-34.6425
Olavarría 677;Escuela Evangélica William C. Morris;Esc Evang William C. Morris;4301-1606/2922;4;BOCA;-58.3624;-34.6377
Necochea 330;Inst. Madre de los Emigrantes;I Madre de los Emigrantes;4361-7689/6593;4;BOCA;-58.3638;-34.6276
Wenceslao Villafañe 1539;Escuela Integral Rabino Elias Suli;Esc Integral Rabino Elias Suli;4320-3620/7247;4;BARRACAS;-58.3736;-34.6349
Defensa 1318;Inst. Integral del Sud;I Integral del Sud;4361-5631;1;SAN TELMO;-58.3712;-34.6233
Bolívar 1163;Inst. Privado Simón Bolivar;I Priv Simón Bolívar;4361-6506 362-5766;1;SAN TELMO;-58.3729;-34.6214
Perú 358;Escuela de Periodismo Circulo de la Prensa;E de Periodismo Círculo de la Prensa;4334-5908/5981;1;MONTSERRAT;-58.3747;-34.6122
Avda. Leandro N. Alem 36;Inst. Privado Cámara Argentina de Comercio;I P Cámara Arg de Comercio;5300-9000;1;SAN NICOLAS;-58.3705;-34.6072
Bolívar 292;Inst. de Capacitación Aduanera;I de Capacitación Aduanera;4343-6256/8267;1;MONTSERRAT;-58.3733;-34.6113
Moreno 343;Inst. Superior de Educación Profesional 13 de julio;I Sup de Educ Prof 13 de Julio;4331-2731;1;MONTSERRAT;-58.3712;-34.6112
Piedras 1527;Inst. Sta. Catalina;I Sta Catalina;4300-1731/2194;1;CONSTITUCION;-58.3762;-34.6266
